,titles,dates
0,Fitting phase-type frailty models,2021-03-24
1,"The shape of the relative frailty variance induced by discrete random
  effect distributions in univariate and multivariate survival models",2023-03-08
2,"A time-varying shared frailty model with application to infectious
  diseases",2014-04-29
3,"Model Identifiability for Bivariate Failure Time Data with Competing
  Risks: Parametric Cause-specific Hazards and Non-parametric Frailty",2024-06-29
4,Generalizing the Frailty Assumptions in Survival Analysis,2015-10-08
5,"Shared Frailty Methods for Complex Survival Data: A Review of Recent
  Advances",2022-05-11
6,The shared weighted Lindley frailty model for cluster failure time data,2022-06-26
7,"Generalized inverse-Gaussian frailty models with application to TARGET
  neuroblastoma data",2020-04-02
8,"Modeling cure fraction with frailty term in latent risk: a Bayesian
  approach",2018-03-06
9,"Parametric Analysis of Bivariate Current Status data with Competing
  risks using Frailty model",2024-05-09
10,Functional Linear Cox Regression Model with Frailty,2025-01-13
11,"Associating Frailty and Dynamic Dysregulation between Motor and Cardiac
  Autonomic Systems",2023-03-23
12,"Model Identifiability for Bivariate Failure Time Data with Competing
  Risk: Non-parametric Cause-specific Hazards and Gamma Frailty",2024-05-13
13,"Feed-Forward Panel Estimation for Discrete-time Survival Analysis of
  Recurrent Events with Frailty",2024-10-25
14,"Frailty Assessment in Aortic Stenosis based on Dynamic Interconnection
  between Cardiac and Motor Systems",2024-04-16
15,Stochastic frailty models for modeling and forecasting mortality,2021-09-06
16,TimeDepFrail: Time-Dependent Shared Frailty Cox Models in R,2025-01-22
17,"On the Addams family of discrete frailty distributions for modelling
  multivariate case I interval-censored data",2024-06-02
18,Some stochastic comparison results for frailty and resilience models,2022-09-17
19,"Prospective survival analysis with a general semiparametric shared
  frailty model - a pseudo full likelihood approach",2005-05-18
20,A Class of Semiparametric Yang and Prentice Frailty Models,2024-03-12
21,Shared Frailty Models Based on Cancer Data,2021-12-21
22,Impact of model misspecification in shared frailty survival models,2018-10-18
23,A Comparison of Parameter Estimation Methods for Shared Frailty Models,2023-11-20
24,"Joint modelling of recurrent and terminal events with
  discretely-distributed non-parametric frailty: application on
  re-hospitalizations and death in heart failure patients",2023-11-07
25,"Extending the Archimedean copula methodology to model multivariate
  survival data grouped in clusters of variable size",2014-01-09
26,"Robust Inference for Univariate Proportional Hazards Frailty Regression
  Models",2004-10-05
27,"Incorporating delayed entry into the joint frailty model for recurrent
  events and a terminal event",2021-03-26
28,"Gait-based Frailty Assessment using Image Representation of IMU Signals
  and Deep CNN",2021-10-15
29,"Examining the impact of data quality and completeness of electronic
  health records on predictions of patients risks of cardiovascular disease",2019-11-19
30,Inferring and predicting Fried physical frailty phenotype deficits,2025-01-03
31,"An Accelerated Failure Time Regression Model for Illness-Death Data: A
  Frailty Approach",2022-05-08
32,"Modeling dependent survival data through random effects with spatial
  correlation at the subject level",2020-10-12
33,Deep Neural Networks for Semiparametric Frailty Models via H-likelihood,2023-07-13
34,Unifying ageing and frailty through complex dynamical networks,2017-06-16
35,"A modified risk detection approach of biomarkers by frailty effect on
  multiple time to event data",2020-11-26
36,A marginalizable frailty model for correlated right-censored data,2014-03-26
37,Frailty Model with Change Point for Survival Analysis,2023-01-11
38,Estimation in a class of semiparametric transformation models,2005-11-21
39,Individual frailty excess hazard models in cancer epidemiology,2023-01-04
40,"Multiple repairable systems under dependent competing risks with
  nonparametric Frailty",2020-04-10
41,"Pseudo full likelihood estimation for prospective survival analysis with
  a general semiparametric shared frailty model: asymptotic theory",2006-02-12
42,"A new stochastic order based on discrete Laplace transform and some
  ordering results of the order statistics",2021-04-08
43,Age Group Discrimination via Free Handwriting Indicators,2023-09-29
44,A Multi-parameter regression model for interval censored survival data,2019-01-28
45,"Neural Frailty Machine: Beyond proportional hazard assumption in neural
  survival regressions",2023-03-18
46,"A Spatio-Temporal Machine Learning Model for Mortgage Credit Risk:
  Default Probabilities and Loan Portfolios",2024-10-03
47,"A simulation study of the estimation quality in the double-Cox model
  with shared frailty for non-proportional hazards survival analysis",2022-06-10
48,"Incorporation of frailties into a non-proportional hazard regression
  model and its diagnostics for reliability modeling of downhole safety valves",2020-08-18
49,"General Semiparametric Shared Frailty Model Estimation and Simulation
  with frailtySurv",2017-02-21
50,Impact of social factors on loan delinquency in microfinance,2024-10-17
51,A Weibull Mixture Cure Frailty Model for High-dimensional Covariates,2024-01-12
52,"Modeling county level breast cancer survival data using a
  covariate-adjusted frailty proportional hazards model",2015-05-12
53,"Particle MCMC in forecasting frailty correlated default models with
  expert opinion",2023-04-23
54,"A Bivariate Power Generalized Weibull Distribution: a Flexible
  Parametric Model for Survival Analysis",2019-01-10
55,"Bayesian inference on the number of recurrent events: A joint model of
  recurrence and survival",2020-05-14
56,"How do heterogeneities in operating environments affect field failure
  predictions and test planning?",2014-01-10
57,"Adjusting for bias introduced by instrumental variable estimation in the
  Cox Proportional Hazards Model",2017-11-07
58,Bayesian survival analysis with INLA,2022-12-04
59,"Exponent dependence measures of survival functions and correlated
  frailty models",2014-09-24
60,"Exact simulation of continuous max-id processes with applications to
  exchangeable max-id sequences",2021-07-09
61,"Dependent Dirichlet Processes for Analysis of a Generalized Shared
  Frailty Model",2021-09-08
62,spBayesSurv: Fitting Bayesian Spatial Survival Models Using R,2017-05-10
63,"Bayesian Quantile-Based Joint Modelling of Repeated Measurement and
  Time-to-Event data, with an Application to Lung Function Decline and Time to
  Infection in Patients with Cystic Fibrosis",2016-09-09
64,"Long-Term Dagum-PVF Frailty Regression Model: Application in Health
  Studies",2023-11-10
65,"Convergent stochastic algorithm for parameter estimation in frailty
  models using integrated partial likelihood",2019-09-16
66,Marginal Structural Illness-Death Models for Semi-Competing Risks Data,2022-04-21
67,"Analysis of Unobserved Heterogeneity via Accelerated Failure Time Models
  Under Bayesian and Classical Approaches",2017-09-08
68,"Z-residual diagnostics for detecting misspecification of the functional
  form of covariates for shared frailty models",2023-02-17
69,A dynamical network model for age-related health deficits and mortality,2016-01-26
70,Quantile Regression Modeling of Recurrent Event Risk,2018-11-15
71,"Reliability Acceptance Sampling Plans under Progressive Type-I Interval
  Censoring Schemes in Presence of Dependent Competing Risks",2024-11-02
72,"Variable selection via Group LASSO Approach : Application to the Cox
  Regression and frailty model",2018-02-23
