,titles,dates
0,"Using Convolutional Neural Networks for fault analysis and alleviation
  in accelerator systems",2021-12-05
1,"Maximum Approximate Likelihood Estimation in Accelerated Failure Time
  Model for Interval-Censored Data",2019-11-16
2,"Failure Inference and Optimization for Step Stress Model Based on
  Bivariate Wiener Model",2014-06-17
3,"Guiding Cascading Failure Search with Interpretable Graph Convolutional
  Network",2020-01-30
4,"Record statistics of bursts signals the onset of acceleration towards
  failure",2020-10-22
5,"Semiparametric Multivariate Accelerated Failure Time Model with
  Generalized Estimating Equations",2012-04-02
6,"Compressive failure as a critical transition: Experimental evidences and
  mapping onto the universality class of depinning",2018-07-17
7,SWIFT: Expedited Failure Recovery for Large-scale DNN Training,2023-02-13
8,"How do heterogeneities in operating environments affect field failure
  predictions and test planning?",2014-01-10
9,"Relative acceleration approach for conduction failure of cardiac
  excitation propagation on anisotropic curved surfaces",2012-10-25
10,"Formalizing the causal interpretation in accelerated failure time models
  with unmeasured heterogeneity",2024-09-03
11,"Efficient estimation in the accelerated failure time model under cross
  sectional sampling",2003-05-16
12,"Statistical analysis of redundant systems with ""warm"" stand-by units",2007-12-20
13,"Andrade and Critical Time-to-Failure Laws in Fiber-Matrix Composites:
  Experiments and Model",2004-04-02
14,Solitonic State in Microscopic Dynamic Failures,2018-06-08
15,"A New Method for Compensation and Rematch of Cavity Failure in C-ADS
  Linac",2015-10-05
16,"Record statistics of emitted energies -- prediction of an upcoming
  failure",2023-05-20
17,"Efficient estimation of accelerated lifetime models under length-biased
  sampling",2019-04-04
18,"A comparison of Bayesian accelerated failure time models with spatially
  varying coefficients",2020-02-08
19,Creep rupture as a non-homogeneous Poissonian process,2013-10-18
20,"An Accelerated Failure Time Regression Model for Illness-Death Data: A
  Frailty Approach",2022-05-08
21,"A maximum penalised likelihood approach for semiparametric accelerated
  failure time models with time-varying covariates and partly interval
  censoring",2024-03-19
22,"Time dependent models for Li, Be and B production in the early Galaxy",1999-03-24
23,"Creep rupture of materials: insights from a fiber bundle model with
  relaxation",2010-10-25
24,"Seismic precursory patterns before a cliff collapse and critical-point
  phenomena",2007-09-17
25,Creep failures in heterogeneous materials,2004-04-14
26,Multi-threshold Accelerate Failure Time Model,2015-12-11
27,"Accelerated Failure Time Models for Competing Risks in a Cluster
  Weighted Modelling Framework",2013-12-03
28,"High-dimensional iterative variable selection for accelerated failure
  time models",2023-04-24
29,Time dependent fracture under unloading in a fiber bundle model,2018-09-19
30,"Robust inference for an interval-monitored step-stress experiment with
  competing risks for failure",2023-11-07
31,Predicting Times to Event Based on Vine Copula Models,2021-11-13
32,Oscillatory finite-time singularities in rockbursts,2025-02-28
33,A flexible parametric accelerated failure time model,2020-06-11
34,"Deep Neural Network Based Accelerated Failure Time Models using Rank
  Loss",2022-06-13
35,"Bayesian reliability acceptance sampling plans under adaptive simple
  step stress partial accelerated life test",2024-08-01
36,"Record breaking bursts during the compressive failure of porous
  materials",2016-04-06
37,"Lifetime Testing 700 MHz RF Windows for the Accelerator Production of
  Tritium Program",2000-08-14
38,"Temperature Accelerated Life Test and Failure Analysis on Upright
  Metamorphic Ga0.37In0.63P/Ga0.83In0.17As/Ge Triple Junction Solar Cells",2020-06-30
39,Modelling time to event with observations made at arbitrary times,2011-02-11
40,Efficient Estimation for Functional Accelerated Failure Time Model,2024-02-08
41,"The spectral evolution of impulsive solar X-ray flares. II.Comparison of
  observations with models",2005-01-20
42,Prediction of creep failure time using machine learning,2020-05-07
43,"Optimal Design of Stress Levels in Accelerated Degradation Testing for
  Multivariate Linear Degradation Models",2021-06-17
44,Radiation Risks and Mitigation in Electronic Systems,2016-07-06
45,"Understanding and Coping with Hardware and Software Failures in a Very
  Large Trigger Farm",2003-06-13
46,"A Versatile Approach to Evaluating and Testing Automated Vehicles based
  on Kernel Methods",2017-10-01
47,Redundant Perception and State Estimation for Reliable Autonomous Racing,2018-09-26
48,"HEANA: A Hybrid Time-Amplitude Analog Optical Accelerator with Flexible
  Dataflows for Energy-Efficient CNN Inference",2024-02-05
49,Lattice Matching with a Quadrupole Missing,2000-07-18
50,"A Comparison of Information Concerning the Regression Parameter in The
  Accelerated Failure Time Model under Current Duration and Length Biased
  Sampling: Does it Pay to be Patient?",2006-03-21
51,Fast Accelerated Failure Time Modeling for Case-Cohort Data,2012-06-01
52,"A unified framework for fitting Bayesian semiparametric models to
  arbitrarily censored survival data, including spatially-referenced data",2017-01-24
53,Applications of Triggered Scaler Module for Accelerator Timing,2020-10-28
54,spsurv: An R package for semi-parametric survival analysis,2020-03-23
55,"Just-in-Time Flaky Test Detection via Abstracted Failure Symptom
  Matching",2023-10-10
56,CoCoI: Distributed Coded Inference System for Straggler Mitigation,2025-01-12
57,Record breaking bursts in a fiber bundle model of creep rupture,2015-03-12
58,"Vacuum Circuit Breaker Closing Time Key Moments Detection via Vibration
  Monitoring: A Run-to-Failure Study",2022-08-16
59,"Uncertainty-Aware Time-to-Event Prediction using Deep Kernel Accelerated
  Failure Time Models",2021-07-26
60,"Failure modes and downtime of radiotherapy linear accelerators and
  Multi-Leaf Collimators in Indonesia",2021-05-19
61,"Testing Topological Data Analysis for Condition Monitoring of Wind
  Turbines",2024-06-24
62,"Fast Power System Cascading Failure Path Searching with High Wind Power
  Penetration",2019-11-22
63,Rocket Cratering in Simulated Lunar and Martian Environments,2023-06-01
64,"Robust Rao-type tests for step-stress accelerated life-tests under
  interval-monitoring and Weibull lifetime distributions",2024-02-09
65,"A Generalized Accelerated Failure Time Model to Predict Restoration Time
  from Power Outages",2023-02-23
66,A Heteroscedastic Accelerated Failure Time Model for Survival Analysis,2015-08-20
67,"Robust Estimation and Variable Selection for the Accelerated Failure
  Time Model",2019-12-20
68,"Numerical simulation of wave propagation and snow failure from explosive
  loading",2016-03-03
69,"Interpretable estimation of the risk of heart failure hospitalization
  from a 30-second electrocardiogram",2022-11-02
70,"The effect of winning an Oscar Award on survival: Correcting for healthy
  performer survivor bias with a rank preserving structural accelerated failure
  time model",2011-08-03
71,"Robust estimators of accelerated failure time regression with
  generalized log-gamma errors",2015-12-04
72,"An efficient Gehan-type estimation for the accelerated failure time
  model with clustered and censored data",2020-03-09
73,"Variational Bayesian analysis of survival data using a log-logistic
  accelerated failure time model",2023-03-16
74,"Adaptive Accelerated Failure Time modeling with a Semiparametric Skewed
  Error Distribution",2024-02-03
75,"A Primal Dual Active Set with Continuation Algorithm for
  $\ell_0$-Penalized High-dimensional Accelerated Failure Time Model",2025-02-18
76,"Asymptotic theory for the semiparametric accelerated failure time model
  with missing data",2009-08-21
77,Penalized integrative analysis under the accelerated failure time model,2015-01-11
78,"Robust Identification of Gene-Environment Interactions under
  High-Dimensional Accelerated Failure Time Models",2020-03-05
79,"Kernel-based multi-marker tests of association based on the accelerated
  failure time model",2024-01-18
80,"Nonlinear Acceleration of Sequential Fully Implicit (SFI) Method for
  Coupled Flow and Transport in Porous Media",2018-10-04
81,Application of accelerated life testing in human reliability analysis,2022-06-17
82,spBayesSurv: Fitting Bayesian Spatial Survival Models Using R,2017-05-10
83,"Experimental Designs for Accelerated Degradation Tests Based on Linear
  Mixed Effects Models",2021-02-18
84,Resolving the HBT Puzzle in Relativistic Heavy Ion Collision,2008-11-20
85,Automating Staged Rollout with Reinforcement Learning,2022-04-01
86,"A Model for Censored Reliability Data with Two Dependent Failure Modes
  and Prediction of Future Failures",2022-06-26
87,"Individualized Treatment Effects with Censored Data via Fully
  Nonparametric Bayesian Accelerated Failure Time Models",2017-06-20
88,GOMP-ST: Grasp Optimized Motion Planning for Suction Transport,2022-03-16
89,Incandescent Bulb and LED Brake Lights:Novel Analysis of Reaction Times,2020-10-20
90,"FTPipeHD: A Fault-Tolerant Pipeline-Parallel Distributed Training
  Framework for Heterogeneous Edge Devices",2021-10-06
91,"Record statistics based prediction of fracture in the random spring
  network model",2023-12-02
92,"A novel failure indexing approach with run-time values of program
  variables",2023-02-02
93,Post Mortem System - Playback of the RHIC Collider,2001-11-21
94,"Group lasso priors for Bayesian accelerated failure time models with
  left-truncated and interval-censored data",2024-01-09
95,"On a general structure for hazard-based regression models: an
  application to population-based cancer research",2018-05-21
96,Optimal Time Plan in Accelerated Degradation Testing,2021-10-12
97,"Essential Properties of Numerical Integration for Time-optimal
  Trajectory Planning Along a Specified Path",2016-10-10
98,"Slider-Block Friction Model for Landslides: Application to Vaiont and La
  Clapiere Landslides",2002-08-21
99,"Shared Frailty Methods for Complex Survival Data: A Review of Recent
  Advances",2022-05-11
100,Second-order perturbation theory: problems on large scales,2015-10-17
101,"The Altes Family of Log-Periodic Chirplets and the Hyperbolic Chirplet
  Transform",2018-03-06
102,"Optimal Stress Levels in Accelerated Degradation Testing for Various
  Degradation Models",2019-12-09
103,Pound-Rebka experiment and torsion in the Schwarzschild spacetime,2009-03-14
104,Failure time and microcrack nucleation,1999-05-12
105,The power law character of off-site power failures,2003-03-17
106,"Distributed control of vehicle strings under finite-time and safety
  specifications",2017-01-13
107,Fatigue failure in glasses under cyclic shear deformation,2024-09-25
108,"Fault gouge failure induced by fluid injection: Hysteresis, delay and
  shear-strengthening",2024-11-18
109,"A New and Efficient Algorithm-Based Fault Tolerance Scheme for A Million
  Way Parallelism",2011-06-21
110,"SAVME: Efficient Safety Validation for Autonomous Systems Using
  Meta-Learning",2023-09-21
111,"SISSA: Real-time Monitoring of Hardware Functional Safety and
  Cybersecurity with In-vehicle SOME/IP Ethernet Traffic",2024-02-21
112,Build Optimization: A Systematic Literature Review,2025-01-21
