,titles,dates
0,"Rejoinder to discussions on ""Instrumental variable estimation of the
  causal hazard ratio""",2022-10-24
1,Interpreting Hazard Ratios: Insights from Frailty Models,2017-01-21
2,"Non-collapsibility and Built-in Selection Bias of Hazard Ratio in
  Randomized Controlled Trials",2024-01-12
3,"The hazard ratio is interpretable as an odds or a probability under the
  assumption of proportional hazards",2021-09-24
4,The built-in selection bias of hazard ratios formalized,2022-10-29
5,"How Cox models react to a study-specific confounder in a patient-level
  pooled dataset: Random-effects better cope with an imbalanced covariate
  across trials unless baseline hazards differ",2018-05-08
6,"Quantifying treatment differences in confirmatory trials under
  non-proportional hazards",2019-08-28
7,"Non-constant hazard ratios in randomized controlled trials with
  composite endpoints",2019-07-25
8,"Bias of the additive hazard model in the presence of causal effect
  heterogeneity",2022-10-29
9,Nonparametric inference under a monotone hazard ratio order,2022-05-03
10,On Defense of the Hazard Ratio,2023-07-22
11,Subtleties in the interpretation of hazard ratios,2018-10-22
12,"A Causally Formulated Hazard Ratio Estimation through Backdoor
  Adjustment on Structural Causal Model",2020-06-22
13,Transforming cumulative hazard estimates,2017-10-20
14,"Efficient Semiparametric Estimation of Short-term and Long-term Hazard
  Ratios with Right-Censored Data",2012-06-05
15,IV estimation of causal hazard ratio,2018-07-14
16,"CauchyCP: a powerful test under non-proportional hazards using Cauchy
  combination of change-point Cox regressions",2020-12-31
17,"Mixture cure semiparametric additive hazard models under partly interval
  censoring -- a penalized likelihood approach",2024-01-02
18,"Stochastic Comparison of Parallel Systems with Log-Lindley Distributed
  Components",2016-08-24
19,Bivariate copula regression models for semi-competing risks,2023-04-06
20,"Monitoring time to event in registry data using CUSUMs based on excess
  hazard models",2024-11-14
21,A Note on Warm Standby System,2014-09-24
22,"Weighted hazard ratio estimation for delayed and diminishing treatment
  effect",2022-09-23
23,"Implementation of an alternative method for assessing competing risks:
  restricted mean time lost",2021-06-25
24,"Survival analysis under non-proportional hazards: investigating
  non-inferiority or equivalence in time-to-event data",2020-09-14
25,A Maximum Weighted Logrank Test in Detecting Crossing Hazards,2021-10-08
26,"A neutral comparison of statistical methods for time-to-event analyses
  under non-proportional hazards",2023-10-09
27,"A new kernel estimator of hazard ratio and its asymptotic mean squared
  error",2016-11-24
28,"Stochastic orders and shape properties for a new distorted proportional
  odds model",2024-11-06
29,"Simultaneous inference procedures for the comparison of multiple
  characteristics of two survival functions",2023-10-03
30,"Assessing Delayed Treatment Benefits of Immunotherapy Using Long-Term
  Average Hazard: A Novel Test/Estimation Approach",2024-03-16
31,"Combining Survival Trials Using Aggregate Data Based on Misspecified
  Models",2015-03-19
32,"Nonparametric Bayesian Adjustment of Unmeasured Confounders in Cox
  Proportional Hazards Models",2023-12-05
33,"A likelihood ratio test for monotone baseline hazard functions in the
  Cox model",2013-04-04
34,Flexible estimation in cure survival models using Bayesian P-splines,2013-12-09
35,"Robust Design and Analysis of Clinical Trials With Non-proportional
  Hazards: A Straw Man Guidance from a Cross-pharma Working Group",2019-08-20
36,"Stochastic Ordering of Exponential Family Distributions and Their
  Mixtures",2009-09-24
37,"Testing and Confidence Intervals for High Dimensional Proportional
  Hazards Model",2014-12-16
38,"Stochastic ordering results in parallel and series systems with Gumble
  distributed random variables",2019-05-01
39,"Inferring median survival differences in general factorial designs via
  permutation tests",2020-06-25
40,On Generalized Reversed Aging Intensity Functions,2020-09-10
41,"Bayesian models for survival data of clinical trials: Comparison of
  implementations using R software",2019-08-19
42,"Road Surface Translation Under Snow-covered and Semantic Segmentation
  for Snow Hazard Index",2021-01-14
43,Some properties of the Lerch family of discrete distributions,2005-04-23
44,Kendall's Tau for Two-Sample Inference Problems,2022-07-29
45,Consistent ANOVA-type tests for various effect sizes,2023-03-24
46,Risk ratios for contagious outcomes,2017-07-18
47,"A Review of EMA Public Assessment Reports where Non-Proportional Hazards
  were Identified",2024-06-18
48,"Properties of the weighted log-rank test in the design of confirmatory
  studies with delayed effects",2018-06-29
49,"Propensity weighting plus adjustment in proportional hazards model is
  not doubly robust",2023-10-24
50,"Self-reconfigurable Multifunctional Memristive Nociceptor for
  Intelligent Robotics",2024-06-13
51,"Causal inference with recurrent data via inverse probability treatment
  weighting method (IPTW)",2019-11-15
52,"Covariate selection for the estimation of marginal hazard ratios in
  high-dimensional data",2024-02-13
