,titles,dates
0,"Combining parametric, semi-parametric, and non-parametric survival
  models with stacked survival models",2013-09-30
1,Clustering Survival Data using a Mixture of Non-parametric Experts,2024-05-24
2,TorchSurv: A Lightweight Package for Deep Survival Analysis,2024-04-16
3,"Model Identifiability for Bivariate Failure Time Data with Competing
  Risks: Parametric Cause-specific Hazards and Non-parametric Frailty",2024-06-29
4,Nonlinear Semi-Parametric Models for Survival Analysis,2019-05-14
5,"Estimating restricted mean treatment effects with stacked survival
  models",2014-10-15
6,Optimal Survival Trees,2020-12-08
7,"Survival Seq2Seq: A Survival Model based on Sequence to Sequence
  Architecture",2022-04-09
8,"Incorporating survival data into case-control studies with incident and
  prevalent cases",2020-10-14
9,"A Flexible Joint Longitudinal-Survival Model for Analysis of End-Stage
  Renal Disease Data",2018-07-06
10,"Variational Deep Survival Machines: Survival Regression with Censored
  Outcomes",2024-04-24
11,"Extrapolation of Relative Treatment Effects using Change-point Survival
  Models",2023-12-31
12,"Model Identifiability for Bivariate Failure Time Data with Competing
  Risk: Non-parametric Cause-specific Hazards and Gamma Frailty",2024-05-13
13,Gaussian Processes for Survival Analysis,2016-11-02
14,"Kernel Cox partially linear regression: building predictive models for
  cancer patients' survival",2023-10-11
15,"Flexible multi-state models for interval-censored data: specification,
  estimation, and an application to ageing research",2017-03-23
16,Bayesian Survival Analysis Using the rstanarm R Package,2020-02-22
17,"Mixture survival models methodology: an application to cancer
  immunotherapy assessment in clinical trials",2019-11-21
18,A Multi-parameter regression model for interval censored survival data,2019-01-28
19,A Heteroscedastic Accelerated Failure Time Model for Survival Analysis,2015-08-20
20,Copula-Based Deep Survival Models for Dependent Censoring,2023-06-20
21,"Tackling Small Sample Survival Analysis via Transfer Learning: A Study
  of Colorectal Cancer Prognosis",2025-01-21
22,"A fully likelihood-based approach to model survival data with crossing
  survival curves",2019-10-06
23,Dual divergences estimation for censored survival data,2011-06-14
24,"survextrap: a package for flexible and transparent survival
  extrapolation",2023-06-06
25,"Multifractal fluctuations in the survival probability of an open quantum
  system",2006-10-02
26,"Semiparametric analysis of clustered interval-censored survival data
  using Soft Bayesian Additive Regression Trees (SBART)",2020-05-05
27,"Cross-validation and Peeling Strategies for Survival Bump Hunting using
  Recursive Peeling Methods",2015-01-16
28,FPBoost: Fully Parametric Gradient Boosting for Survival Analysis,2024-09-20
29,"Dependent Dirichlet Processes for Analysis of a Generalized Shared
  Frailty Model",2021-09-08
30,"SurvHive: a package to consistently access multiple survival-analysis
  packages",2025-02-04
31,"Deep Survival Machines: Fully Parametric Survival Regression and
  Representation Learning for Censored Data with Competing Risks",2020-03-02
32,Deep conditional transformation models for survival analysis,2022-10-20
33,"A Change-Point Model for Detecting Heterogeneity in Ordered Survival
  Responses",2016-03-14
34,Smooth Transformation Models for Survival Analysis: A Tutorial Using R,2024-02-09
35,"Using Survival Information in Truncation by Death Problems Without the
  Monotonicity Assumption",2018-03-06
36,"Longitudinal quantile regression in presence of informative drop-out
  through longitudinal-survival joint modeling",2014-04-04
37,"Parmsurv: a SAS Macro for Flexible Parametric Survival Analysis with
  Long-Term Predictions",2021-06-26
38,A discrete-time survival model to handle interval-censored covariates,2024-08-14
39,"Deep Clustering Survival Machines with Interpretable Expert
  Distributions",2023-01-27
40,"Copula-based semiparametric nonnormal transformed linear model for
  survival data with dependent censoring",2024-06-05
41,"Predicting Breast Cancer Survival: A Survival Analysis Approach Using
  Log Odds and Clinical Variables",2024-10-17
42,A Pseudo-likelihood Approach to Under-5 Mortality Estimation,2023-10-17
43,Extended Excess Hazard Models for Spatially Dependent Survival Data,2023-02-18
44,"The use of restricted mean survival time to estimate treatment effect
  under model misspecification, a simulation study",2023-11-03
45,"Heterogeneous Treatment Effect in Time-to-Event Outcomes: Harnessing
  Censored Data with Recursively Imputed Trees",2025-02-03
46,"Enhanced Survival Prediction in Head and Neck Cancer Using Convolutional
  Block Attention and Multimodal Data Fusion",2024-10-29
47,"Blended Survival Curves: A New Approach to Extrapolation for
  Time-to-Event Outcomes from Clinical Trial in Health Technology Assessment",2022-06-01
48,A General Approach for Cure Models in Survival Analysis,2017-01-13
49,"Non-parametric estimation of net survival under dependence between death
  causes",2025-02-13
50,"Analysis of survival data with non-proportional hazards: A comparison of
  propensity score weighted methods",2020-09-02
51,Stable Survival Extrapolation via Transfer Learning,2024-09-24
52,"SAVAE: Leveraging the variational Bayes autoencoder for survival
  analysis",2023-12-22
53,"A framework for leveraging machine learning tools to estimate
  personalized survival curves",2022-11-06
54,Positive-Unlabelled Survival Data Analysis,2020-11-26
55,"Experimental Comparison of Semi-parametric, Parametric, and Machine
  Learning Models for Time-to-Event Analysis Through the Concordance Index",2020-03-13
56,Sieve estimates for biased survival data,2006-11-23
57,"A Pan-Cancer and Polygenic Bayesian Hierarchical Model for the Effect of
  Somatic Mutations on Survival",2019-10-08
58,"A Parametric Approach to Relaxing the Independence Assumption in
  Relative Survival Analysis",2021-12-08
59,On Training Survival Models with Scoring Rules,2024-03-19
60,On harmonic oscillator hazard functions,2024-08-28
61,"Non-Smooth Backfitting for Excess Risk Additive Regression Model with
  Two Survival Time-Scales",2019-04-02
62,"Averaging polyhazard models using Piecewise deterministic Monte Carlo
  with applications to data with long-term survivors",2024-06-20
63,"Bayesian Stacked Parametric Survival with Frailty Components and
  Interval Censored Failure Times",2019-08-29
64,"The use of registry data to extrapolate overall survival results from
  randomised controlled trials",2019-10-24
65,"Doubly robust estimators for generalizing treatment effects on survival
  outcomes from randomized controlled trials to a target population",2022-01-17
66,"Estimating Heterogenous Treatment Effects for Survival Data with Doubly
  Doubly Robust Estimator",2024-09-02
67,Informed Bayesian survival analysis,2021-12-15
68,"SemiCompRisks: An R Package for Independent and Cluster-Correlated
  Analyses of Semi-Competing Risks Data",2018-01-10
