,titles,dates
0,Survival stacking: casting survival analysis as a classification problem,2021-07-28
1,Clustering Survival Data using a Mixture of Non-parametric Experts,2024-05-24
2,Predicting Human Lifespan Limits,2009-08-24
3,Case Study in Survivable Network System Analysis,1998-11-04
4,Asymptotic of the Heat Kernel in General Benedicks Domains,2002-03-07
5,TorchSurv: A Lightweight Package for Deep Survival Analysis,2024-04-16
6,"Survival trees for left-truncated and right-censored data, with
  application to time-varying covariate data",2016-06-09
7,"Survival Kernets: Scalable and Interpretable Deep Kernel Survival
  Analysis with an Accuracy Guarantee",2022-06-21
8,"Crossing points in survival analysis sensitively depend on system
  conditions",2018-05-08
9,Survival Mixture Density Networks,2022-08-23
10,"SurvReLU: Inherently Interpretable Survival Analysis via Deep ReLU
  Networks",2024-07-19
11,Deep Survival Analysis,2016-08-06
12,Random survival forests,2008-11-11
13,Federated Survival Forests,2023-02-06
14,Censor Dependent Variational Inference,2025-02-13
15,"Survival Forests under Test: Impact of the Proportional Hazards
  Assumption on Prognostic and Predictive Forests for ALS Survival",2019-02-05
16,"CNN-based Survival Model for Pancreatic Ductal Adenocarcinoma in Medical
  Imaging",2019-06-25
17,Multi-Source Survival Domain Adaptation,2022-12-01
18,Neural networks to predict survival from RNA-seq data in oncology,2021-05-18
19,"Combining multi-site Magnetic Resonance Imaging with machine learning
  predicts survival in paediatric brain tumours",2020-04-21
20,Siamese Survival Analysis with Competing Risks,2018-07-16
21,"Predicting Breast Cancer Survival: A Survival Analysis Approach Using
  Log Odds and Clinical Variables",2024-10-17
22,"Variable Selection with Random Survival Forest and Bayesian Additive
  Regression Tree for Survival Data",2019-10-04
23,"Factorial survival analysis for treatment effects under dependent
  censoring",2023-02-03
24,"Measuring the deviation from maximal mixing of atmospheric muon
  neutrinos at INO",2006-01-02
25,"Nonparametric Analysis of Delayed Treatment Effects using
  Single-Crossing Constraints",2021-01-31
26,DNNSurv: Deep Neural Networks for Survival Analysis Using Pseudo Values,2019-08-06
27,Effect of right censoring bias on survival analysis,2020-12-15
28,"Dynamic Survival Transformers for Causal Inference with Electronic
  Health Records",2022-10-25
29,"ICTSurF: Implicit Continuous-Time Survival Functions with Neural
  Networks",2023-12-10
30,"Demisability and survivability sensitivity to design-for-demise
  techniques",2019-10-10
31,"Barriers, exit time and survival probability for unimodal Lévy
  processes",2013-07-01
32,Bayesian survival analysis with INLA,2022-12-04
33,"Nutritional Regulation Influencing Colony Dynamics and Task Allocations
  in Social Insect Colonies",2020-05-07
34,"Deep Kernel Survival Analysis and Subject-Specific Survival Time
  Prediction Intervals",2020-07-25
35,"A Flexible Joint Longitudinal-Survival Model for Analysis of End-Stage
  Renal Disease Data",2018-07-06
36,"Semiparametric Estimation for Cure Survival Model with Left-Truncated
  and Right-Censored Data and Covariate Measurement Error",2018-12-28
37,Optimal Survival Trees,2020-12-08
38,Learning Survival Distribution with Implicit Survival Function,2023-05-24
39,"Predictive factors associated with survival rate of cervical cancer
  patients in Brunei Darussalam",2021-10-21
40,Tutorial on survival modeling with applications to omics data,2023-02-24
41,Reinterpreting survival analysis in the universal approximator age,2023-07-25
42,"Multi-stage optimal dynamic treatment regimes for survival outcomes with
  dependent censoring",2020-12-06
43,"survivalContour: Visualizing predicted survival via colored contour
  plots",2023-08-26
44,Gaussian Processes for Survival Analysis,2016-11-02
45,"Comparison of Effect Size Measures for Mediation Analysis of Survival
  Outcomes with Application to the Framingham Heart Study",2022-05-06
46,Latent diffusion models for survival analysis,2010-10-08
47,"Reverse Survival Model (RSM): A Pipeline for Explaining Predictions of
  Deep Survival Models",2022-10-27
48,"Deep Convolutional Neural Networks for Imaging Data Based Survival
  Analysis of Rectal Cancer",2019-01-05
49,Two Approaches to Survival Analysis of Open Source Python Projects,2022-03-15
50,Flexible Group Fairness Metrics for Survival Analysis,2022-05-26
51,"Inaccuracy and divergence measures based on survival extropy, their
  properties, and applications in testing and image analysis",2024-10-30
52,Interpretable Survival Analysis for Heart Failure Risk Prediction,2023-10-24
53,"Scaling Survival Analysis in Healthcare with Federated Survival Forests:
  A Comparative Study on Heart Failure and Breast Cancer Genomics",2023-08-04
54,"FedPseudo: Pseudo value-based Deep Learning Models for Federated
  Survival Analysis",2022-07-12
55,Nonlinear Semi-Parametric Models for Survival Analysis,2019-05-14
56,Proper Scoring Rules for Survival Analysis,2023-05-01
57,"Dependent Dirichlet Processes for Analysis of a Generalized Shared
  Frailty Model",2021-09-08
58,Deep Learning for Patient-Specific Kidney Graft Survival Analysis,2017-05-29
59,"Semiparametric Estimation for the Transformation Model with
  Length-Biased Data and Covariate Measurement Error",2018-12-27
60,Simultaneous Prediction Intervals for Patient-Specific Survival Curves,2019-06-25
61,"Survival prediction and risk estimation of Glioma patients using mRNA
  expressions",2020-11-02
62,Dynamic prediction of time to event with survival curves,2021-01-26
63,"Deep Clustering Survival Machines with Interpretable Expert
  Distributions",2023-01-27
64,"Predicting Risk of Dementia with Survival Machine Learning and
  Statistical Methods: Results on the English Longitudinal Study of Ageing
  Cohort",2023-06-17
65,"Survival Analysis Revisited: Understanding and Unifying Poisson,
  Exponential, and Cox Models in Fall Risk Analysis",2025-01-06
66,"Fairness in Survival Analysis: A Novel Conditional Mutual Information
  Augmentation Approach",2025-02-04
67,"Multi-modal Data Binding for Survival Analysis Modeling with Incomplete
  Data and Annotations",2024-07-25
68,"HACSurv: A Hierarchical Copula-based Approach for Survival Analysis with
  Dependent Competing Risks",2024-10-19
69,"OPSurv: Orthogonal Polynomials Quadrature Algorithm for Survival
  Analysis",2024-02-02
70,"A Deep Latent-Variable Model Application to Select Treatment Intensity
  in Survival Analysis",2018-11-29
