,titles,dates
0,A discrete-time survival model to handle interval-censored covariates,2024-08-14
1,"Weighted empirical likelihood in some two-sample semiparametric models
  with various types of censored data",2008-03-12
2,"Smoothed weighted empirical likelihood ratio confidence intervals for
  quantiles",2008-10-23
3,Model Based Bootstrap Methods for Interval Censored Data,2013-12-22
4,"Conformal predictive intervals in survival analysis: a re-sampling
  approach",2024-08-13
5,"Type I Tobit Bayesian Additive Regression Trees for Censored Outcome
  Regression",2022-11-14
6,Survival Trees for Interval-Censored Survival data,2017-02-24
7,"SurvRegCensCov: Weibull Regression for a Right-Censored Endpoint with a
  Censored Covariate",2014-02-03
8,A unified nonparametric fiducial approach to interval-censored data,2021-11-28
9,Interval-censored linear quantile regression,2024-04-17
10,"Parameter Estimation of Type-II Hybrid Censored Weighted Exponential
  Distribution",2012-03-01
11,Interval censored recursive forests,2019-12-20
12,An Improved Tobit Kalman Filter with Adaptive Censoring Limits,2019-11-14
13,Probability-scale residuals for event-time data,2024-09-17
14,"Semi-parametric modeling of excesses above high multivariate thresholds
  with censored data",2014-12-02
15,"Penalized bias reduction in extreme value estimation for censored
  Pareto-type data, and long-tailed insurance applications",2017-05-18
16,A Note on Bayesian Modeling Specification of Censored Data in JAGS,2020-12-03
17,An Ensemble Method for Interval-Censored Time-to-Event Data,2019-01-14
18,"Time-dependent Predictive Accuracy Metrics in the Context of Interval
  Censoring and Competing Risks",2025-01-02
19,"Maximum Approximate Likelihood Estimation in Accelerated Failure Time
  Model for Interval-Censored Data",2019-11-16
20,"Fast approximations of pseudo-observations in the context of
  right-censoring and interval-censoring",2021-09-07
21,Effect of right censoring bias on survival analysis,2020-12-15
22,A New Two Sample Type-II Progressive Censoring Scheme,2016-09-19
23,Estimators for the interval censoring problem,2011-09-28
24,Goodness of fit test under progressive Type-I interval censoring,2017-04-21
25,"Log-Concavity of Multinomial Likelihood Functions Under Interval
  Censoring Constraints on Frequencies or Their Partial Sums",2023-11-05
26,Interval-censored Hawkes processes,2021-04-16
27,"Estimation of P(X > Y ) for Weibull distribution based on hybrid
  censored samples",2017-07-18
28,Neural interval-censored survival regression with feature selection,2022-06-14
29,A non-homogeneous Semi-Markov model for Interval Censoring,2024-01-31
30,A Multi-parameter regression model for interval censored survival data,2019-01-28
31,Valid post-correction inference for censored regression problems,2014-03-13
32,"Semiparametric analysis of clustered interval-censored survival data
  using Soft Bayesian Additive Regression Trees (SBART)",2020-05-05
33,"A Semiparametric Bayesian Method for Instrumental Variable Analysis with
  Partly Interval-Censored Time-to-Event Outcome",2025-01-23
34,"Inference on Weibull Parameters Under a Balanced Two Sample Type-II
  Progressive Censoring Scheme",2018-01-01
35,"On the Parameter Estimation of the Generalized Exponential Distribution
  Under Progressive Type-I Interval Censoring Scheme",2018-11-16
36,"Copula-based Semiparametric Regression Method for Bivariate Data under
  General Interval Censoring",2019-01-07
37,"On a penalised likelihood approach for joint modelling of longitudinal
  covariates and partly interval-censored data -- an application to the
  Anti-PD1 brain collaboration trial",2024-12-04
38,Cure-rate estimation under Case-1 interval censoring,2007-01-12
39,Observed Range Maximum Likelihood Estimation,2011-11-17
40,"Maximum-Likelihood Estimation of a Log-Concave Density based on Censored
  Data",2013-11-25
41,"Predictive Accuracy of Markers or Risk Scores for Interval Censored
  Survival Data",2018-06-05
42,"Statistical inference for Gumbel Type-II distribution under simple
  step-stress life test using Type-II censoring",2021-06-28
43,"Non-parametric estimation of transition intensities in interval censored
  Markov multi-state models without loops",2024-09-11
44,Robust Confidence Intervals in High-Dimensional Left-Censored Regression,2016-09-22
45,"Contact intervals, survival analysis of epidemic data, and estimation of
  R_0",2009-12-17
46,"On Generalized Progressive Hybrid Censoring in presence of competing
  risks",2017-03-03
