Title,Date,Authors,Abstract
Preliminary exploration of deep learning-assisted recognition of superior labrum anterior and posterior lesions in shoulder MR arthrography.,2024-Jan,"Ming Ni, Lixiang Gao, Wen Chen, Qiang Zhao, Yuqing Zhao, Chenyu Jiang, Huishu Yuan","MR arthrography (MRA) is the most accurate method for preoperatively diagnosing superior labrum anterior-posterior (SLAP) lesions, but diagnostic results can vary considerably due to factors such as experience. In this study, deep learning was used to facilitate the preliminary identification of SLAP lesions and compared with radiologists of different seniority."
Wearable Inertial Sensors for Daily Activity Analysis Based on Adam Optimization and the Maximum Entropy Markov Model.,2020-May-20,"Sheikh Badar Ud Din Tahir, Ahmad Jalal, Kibum Kim","Advancements in wearable sensors technologies provide prominent effects in the daily life activities of humans. These wearable sensors are gaining more awareness in healthcare for the elderly to ensure their independent living and to improve their comfort. In this paper, we present a human activity recognition model that acquires signal data from motion node sensors including inertial sensors, i.e., gyroscopes and accelerometers. First, the inertial data is processed via multiple filters such as Savitzky-Golay, median and hampel filters to examine lower/upper cutoff frequency behaviors. Second, it extracts a multifused model for statistical, wavelet and binary features to maximize the occurrence of optimal feature values. Then, adaptive moment estimation (Adam) and AdaDelta are introduced in a feature optimization phase to adopt learning rate patterns. These optimized patterns are further processed by the maximum entropy Markov model (MEMM) for empirical expectation and highest entropy, which measure signal variances for outperformed accuracy results. Our model was experimentally evaluated on University of Southern California Human Activity Dataset (USC-HAD) as a benchmark dataset and on an Intelligent Mediasporting behavior (IMSB), which is a new self-annotated sports dataset. For evaluation, we used the ""leave-one-out"" cross validation scheme and the results outperformed existing well-known statistical state-of-the-art methods by achieving an improved recognition accuracy of 91.25%, 93.66% and 90.91% when compared with USC-HAD, IMSB, and Mhealth datasets, respectively. The proposed system should be applicable to man-machine interface domains, such as health exercises, robot learning, interactive games and pattern-based surveillance."
Differential gene regulatory pattern in the human brain from schizophrenia using transcriptomic-causal network.,2020-Oct-21,"Akram Yazdani, Raul Mendez-Giraldez, Azam Yazdani, Michael R Kosorok, Panos Roussos","Common and complex traits are the consequence of the interaction and regulation of multiple genes simultaneously, therefore characterizing the interconnectivity of genes is essential to unravel the underlying biological networks. However, the focus of many studies is on the differential expression of individual genes or on co-expression analysis."
Transformer-based deep learning denoising of single and multi-delay 3D arterial spin labeling.,2024-Feb,"Qinyang Shou, Chenyang Zhao, Xingfeng Shao, Kay Jann, Hosung Kim, Karl G Helmer, Hanzhang Lu, Danny J J Wang",To present a Swin Transformer-based deep learning (DL) model (SwinIR) for denoising single-delay and multi-delay 3D arterial spin labeling (ASL) and compare its performance with convolutional neural network (CNN) and other Transformer-based methods.
Obtaining vertical distribution of PM,2022-Jan-20,"Bin Chen, Zhihao Song, Feng Pan, Yue Huang",Aerosol optical depth (AOD) has been widely used to estimate the near-surface PM
Understandable learning machine system design for transmembrane or embedded membrane segments prediction.,2011,"Hae-Jin Hu, Robert W Harrison, Phang C Tai, Yi Pan",We modified an existing association rule-based classifier CPAR to improve traditional black box model based learning machine approaches on Transmembrane (TM) segment prediction. The modified classifier was improved further by combining with SVM. The experimental results indicate that this hybrid scheme offers biologically meaningful rules on TM/EM segment prediction while maintaining the performance almost as well as the SVM method. The evaluation of the sturdiness and the Receiver Operating Characteristic (ROC) curve analysis proved that this new scheme is robust and competent with SVM on TM/EM segment prediction. The prediction server is available at http://bmcc2.cs.gsu.edu/ haeh2/.
"Protein complexes, big data, machine learning and integrative proteomics: lessons learned over a decade of systematic analysis of protein interaction networks.",2017-Oct,"Pierre C Havugimana, Pingzhao Hu, Andrew Emili","Elucidation of the networks of physical (functional) interactions present in cells and tissues is fundamental for understanding the molecular organization of biological systems, the mechanistic basis of essential and disease-related processes, and for functional annotation of previously uncharacterized proteins (via guilt-by-association or -correlation). After a decade in the field, we felt it timely to document our own experiences in the systematic analysis of protein interaction networks. Areas covered: Researchers worldwide have contributed innovative experimental and computational approaches that have driven the rapidly evolving field of 'functional proteomics'. These include mass spectrometry-based methods to characterize macromolecular complexes on a global-scale and sophisticated data analysis tools - most notably machine learning - that allow for the generation of high-quality protein association maps. Expert commentary: Here, we recount some key lessons learned, with an emphasis on successful workflows, and challenges, arising from our own and other groups' ongoing efforts to generate, interpret and report proteome-scale interaction networks in increasingly diverse biological contexts."
A spheroid whole mount drug testing pipeline with machine-learning based image analysis identifies cell-type specific differences in drug efficacy on a single-cell level.,2024-Dec-18,"Mario Vitacolonna, Roman Bruch, Richard Schneider, Julia Jabs, Mathias Hafner, Markus Reischl, Rüdiger Rudolf","The growth and drug response of tumors are influenced by their stromal composition, both in vivo and 3D-cell culture models. Cell-type inherent features as well as mutual relationships between the different cell types in a tumor might affect drug susceptibility of the tumor as a whole and/or of its cell populations. However, a lack of single-cell procedures with sufficient detail has hampered the automated observation of cell-type-specific effects in three-dimensional stroma-tumor cell co-cultures."
Effects of Unrestricted Kinematically Aligned Total Knee Arthroplasty with a Modified Soft-Tissue Respecting Technique on the Deformity of Limb Alignment in Japanese Patients.,2023-Nov-08,"Masahiro Ishikawa, Masaaki Ishikawa, Hideaki Nagashima, Shinya Ishizuka, Kazuhiko Michishita, Yoshinori Soda, Takafumi Hiranaka",
Consensus based framework for digital mobility monitoring.,2021,"Felix Kluge, Silvia Del Din, Andrea Cereatti, Heiko Gaßner, Clint Hansen, Jorunn L Helbostad, Jochen Klucken, Arne Küderle, Arne Müller, Lynn Rochester, Martin Ullrich, Bjoern M Eskofier, Claudia Mazzà","Digital mobility assessment using wearable sensor systems has the potential to capture walking performance in a patient's natural environment. It enables monitoring of health status and disease progression and evaluation of interventions in real-world situations. In contrast to laboratory settings, real-world walking occurs in non-conventional environments and under unconstrained and uncontrolled conditions. Despite the general understanding, there is a lack of agreed definitions about what constitutes real-world walking, impeding the comparison and interpretation of the acquired data across systems and studies. The goal of this study was to obtain expert-based consensus on specific aspects of real-world walking and to provide respective definitions in a common terminological framework. An adapted Delphi method was used to obtain agreed definitions related to real-world walking. In an online survey, 162 participants from a panel of academic, clinical and industrial experts with experience in the field of gait analysis were asked for agreement on previously specified definitions. Descriptive statistics was used to evaluate whether consent (> 75% agreement as defined a priori) was reached. Of 162 experts invited to participate, 51 completed all rounds (31.5% response rate). We obtained consensus on all definitions (""Walking"" > 90%, ""Purposeful"" > 75%, ""Real-world"" > 90%, ""Walking bout"" > 80%, ""Walking speed"" > 75%, ""Turning"" > 90% agreement) after two rounds. The identification of a consented set of real-world walking definitions has important implications for the development of assessment and analysis protocols, as well as for the reporting and comparison of digital mobility outcomes across studies and systems. The definitions will serve as a common framework for implementing digital and mobile technologies for gait assessment and are an important link for the transition from supervised to unsupervised gait assessment."
