Title,Date,Authors
Multiparametric MRI and transfer learning for predicting positive margins in breast-conserving surgery: a multi-center study.,2025,"Xue Zhao, Jing-Wen Bai, Sen Jiang, Zhen-Hui Li, Jie-Zhou He, Zhi-Cheng Du, Xue-Qi Fan, Shao-Zi Li, Guo-Jun Zhang"
Differentiation of glioblastoma G4 and two types of meningiomas using FTIR spectra and machine learning.,2025,"Bartłomiej Tołpa, Wiesław Paja, Paweł Jakubczyk, Kornelia Łach, Elżbieta Trojnar, Agnieszka Gala-Błądzińska, Aneta Kowal, Bartosz Klębowski, Jozef Cebulski, Joanna Depciuch"
Effect of an intensive antiplaque regimen on microbiome outcomes after nonsurgical periodontal therapy.,2025,"Lu Li, Yoshiko Hayashi-Okada, Karen L Falkner, Yasumitsu Shimizu, Joseph J Zambon, Keith L Kirkwood, Robert E Schifferle, Robert J Genco, Patricia I Diaz"
Identification of core genes related to exosomes and screening of potential targets in periodontitis using transcriptome profiling at the single-cell level.,2025,"Wufanbieke Baheti, Diwen Dong, Congcong Li, Xiaotao Chen"
Machine learning unveils the role of biochar application in enhancing tea yield by mitigating soil acidification in tea plantations.,2025,"Rongxiu Yin, Xin Li, Yating Ning, Qiang Hu, Yihu Mao, Xiaoqin Zhang, Xinzhong Zhang"
Comparative Analysis of Recurrent Neural Networks with Conjoint Fingerprints for Skin Corrosion Prediction.,2025,"Huynh Anh Duy, Tarapong Srisongkram"
Label-Free Visualization and Segmentation of Endothelial Cell Mitochondria Using Holotomographic Microscopy and U-Net.,2024,"Raul Michael, Tallah Modirzadeh, Tahir Bachar Issa, Patrick Jurney"
Identification of macrophage polarisation and mitochondria-related biomarkers in diabetic retinopathy.,2025,"Weifeng Liu, Bin Tong, Jian Xiong, Yanfang Zhu, Hongwei Lu, Haonan Xu, Xi Yang, Feifei Wang, Peng Yu, Yunwei Hu"
Population shifts during the reconstruction period in areas marked as evacuation zones after the Fukushima Daiichi nuclear power plant accident: a mobile spatial statistics data-based time-series clustering analysis.,2024,"Toshiki Abe, Hiroki Yoshimura, Hiroaki Saito, Michio Murakami, Asaka Higuchi, Nobuaki Moriyama, Isamu Amir, Naomi Ito, Akihiko Ozaki, Toyoaki Sawano, Chika Yamamoto, Tianchen Zhao, Masaharu Tsubokura"
A combined AI and cell biology approach surfaces targets and mechanistically distinct Inflammasome inhibitors.,2024,"Daniel Chen, Tempest Plott, Michael Wiest, Will Van Trump, Ben Komalo, Dat Nguyen, Charlie Marsh, Jarred Heinrich, Colin J Fuller, Lauren Nicolaisen, Elisa Cambronero, An Nguyen, Christian Elabd, Francesco Rubbo, Rachel DeVay Jacobson"
High-resolution monthly assessment of population exposure to PM,2025,"Yu Ma, Chen Zhou, Manchun Li, Qin Huang"
Explainable label guided lightweight network with axial transformer encoder for early detection of oral cancer.,2025,"Dhirendra Prasad Yadav, Bhisham Sharma, Ajit Noonia, Abolfazl Mehbodniya"
Raman spectroscopy integrated with machine learning techniques to improve industrial sorting of Waste Electric and Electronic Equipment (WEEE) plastics.,2025,"Ainara Pocheville, Iratxe Uria, Paule España, Sixto Arnaiz"
Improving topic modeling performance on social media through semantic relationships within biomedical terminology.,2025,"Yi Xin, Monika E Grabowska, Srushti Gangireddy, Matthew S Krantz, V Eric Kerchberger, Alyson L Dickson, Qiping Feng, Zhijun Yin, Wei-Qi Wei"
Comparison of Chart Review and Administrative Data in Developing Predictive Models for Readmissions in Chronic Obstructive Pulmonary Disease.,2025,"Sukarn Chokkara, Michael G Hermsen, Matthew Bonomo, Samuel Kaskovich, Maximilian J Hemmrich, Kyle A Carey, Laura Ruth Venable, Juan C Rojas, Matthew M Churpek, Valerie G Press"
Increased interaction between B cells and CD3+ T cells in non-progressors with human papillomavirus-associated oropharyngeal squamous cell carcinoma.,2025,"Kathleen R Bartemes, Raymond M Moore, Brenna C Novotny, Kevin D Pavelko, Will A Sherman, Michael Rivera, Joaquin J Garcia, Linda X Yin, Daniel J Ma, Eric J Moore, Kathryn M Van Abel, David M Routman"
Machine Learning Approach to Identifying Wrong-Site Surgeries Using Centers for Medicare and Medicaid Services Dataset: Development and Validation Study.,2025,"Yuan-Hsin Chen, Ching-Hsuan Lin, Chiao-Hsin Fan, An Jim Long, Jeremiah Scholl, Yen-Pin Kao, Usman Iqbal, Yu-Chuan Jack Li"
Detection of camellia oil adulteration based on near-infrared spectroscopy and smartphone combined with deep learning and multimodal fusion.,2025,"Zhuowen Deng, Yun Zheng, Tao Lan, Liangxiao Zhang, Yong-Huan Yun, Weiran Song"
Identifying bee species origins of Philippine honey using X-ray fluorescence elemental analysis coupled with machine learning.,2025,"Angel T Bautista Vii, June Hope D Aznar, Remjohn Aron H Magtaas, Mary Margareth T Bauyon, Andrei Joshua R Yu, Joshua Kian G Balaguer, Jervee M Punzalan, Jessica B Baroga-Barbecho, Cleofas R Cervancia"
Anticipating Urgency: Predictive Factors for Early Intervention in Appendicular Perforation.,2024,"Arun K Singh, Shivani B Paruthy, Vaibhav Kuraria, Inzamam Ul Hoda, Dhananjay Khera, Mohit Dhawaria, Hinduja Raju, Abhinav Kumar, Singamsetty S Madhuri, Yogesh Saini"
Development and validation of a screening tool for sepsis without laboratory results in the emergency department: a machine learning study.,2025,"Shan Jiang, Shuai Dai, Yulin Li, Xianlong Zhou, Cheng Jiang, Cong Tian, Yana Yuan, Chengwei Li, Yan Zhao"
S4Sleep: Elucidating the design space of deep-learning-based sleep stage classification models.,2025,"Tiezhi Wang, Nils Strodthoff"
PIPENN-EMB ensemble net and protein embeddings generalise protein interface prediction beyond homology.,2025,"David P G Thomas, Carlos M Garcia Fernandez, Reza Haydarlou, K Anton Feenstra"
Observation of a rare beta decay of the charmed baryon with a Graph Neural Network.,2025,No authors listed
Numerical Homogenization of Orthotropic Functionally Graded Periodic Cellular Materials: Method Development and Implementation.,2024,"Behnam Shahbazian, Victor Bautista Katsalukha, Mirmilad Mirsayar"
A stacking ensemble system for identifying the presence of histological variants in bladder carcinoma: a multicenter study.,2024,"Canjie Peng, Quanhao He, Fajin Lv, Qing Jiang, Yong Chen, Zongjie Wei, Yingjie Xv, Fangtong Liao, Mingzhao Xiao"
"Current status, challenges, and prospects of artificial intelligence applications in wound repair theranostics.",2025,"Huazhen Liu, Wenbin Sun, Weihuang Cai, Kaidi Luo, Chunxiang Lu, Aoxiang Jin, Jiantao Zhang, Yuanyuan Liu"
Machine learning-driven analysis of activation energy for metal halide perovskites.,2025,"Vimi Patel, Kunjrani Sorathia, Kushal Unjiya, Raj Dashrath Patel, Siddhi Vinayak Pandey, Abul Kalam, Daniel Prochowicz, Seckin Akin, Pankaj Yadav"
Analysis and prediction of condylar resorption following orthognathic surgery.,2025,"Pieter-Jan Verhelst, Sigrid Janssens, Harold Matthews, Giacomo Begnoni, Peter Claes, Eman Shaheen, Hilde Peeters, Constantinus Politis, Reinhilde Jacobs"
Development of an artificial intelligence-based multimodal diagnostic system for early detection of biliary atresia.,2025,"Ya Ma, Yuancheng Yang, Yuxin Du, Luyang Jin, Baoyu Liang, Yuqi Zhang, Yedi Wang, Luyu Liu, Zijian Zhang, Zelong Jin, Zhimin Qiu, Mao Ye, Zhengrong Wang, Chao Tong"
"Deciphering key roles of B cells in prognostication and tailored therapeutic strategies for lung adenocarcinoma: a multi-omics and machine learning approach towards predictive, preventive, and personalized treatment strategies.",2025,"Jinjin Zhang, Dingtao Hu, Pu Fang, Min Qi, Gengyun Sun"
Development of quantitative structure property relationship models and tool for predicting the soil adsorption coefficient (logK,2025,"Xianhai Yang, Yue Yang, Peter Watson, Huihui Liu"
Detection of cardiac amyloidosis using machine learning on routine echocardiographic measurements.,2024,"Rachel Si-Wen Chang, I-Min Chiu, Phillip Tacon, Michael Abiragi, Louie Cao, Gloria Hong, Jonathan Le, James Zou, Chathuri Daluwatte, Piero Ricchiuto, David Ouyang"
Estimation of direction and zero errors of satellite laser terminals in low-light conditions based on machine learning.,2024,"Jie Zhang, Yubin Cao, Pengzhen Guo, Zekun Li, Hairui Du, Nanxing Chen, Kairui Cao, Liying Tan"
Ti,2024,"Yanan Xiao, He Li, Tianyi Gu, Xiaoteng Jia, Shixiang Sun, Yong Liu, Bin Wang, He Tian, Peng Sun, Fangmeng Liu, Geyu Lu"
Classification patterns identification of immunogenic cell death-related genes in heart failure based on deep learning.,2025,"Zhihui Ma, Shixin Ma, Bin Chen, Yongjun Zhang, Jinmei Zeng, Jianping Tao, Yu Hu"
Data-driven prediction of regional brain metabolism using neuropsychological assessment in Alzheimer's disease and behavioral variant Frontotemporal dementia.,2025,"Josefa Díaz-Álvarez, Fernando García-Gutiérrez, Pedro Bueso-Inchausti, María Nieves Cabrera-Martín, Cristina Delgado-Alonso, Alfonso Delgado-Alvarez, Maria Diez-Cirarda, Adrian Valls-Carbo, Lucia Fernández-Romero, Maria Valles-Salgado, Paloma Dauden-Oñate, Jorge Matías-Guiu, Jordi Peña-Casanova, José L Ayala, Jordi A Matias-Guiu"
Review on computational methods for the detection and classification of Parkinson's Disease.,2025,"Komal Singh, Manish Khare, Ashish Khare, Neena Kohli"
Advancing Alzheimer's disease risk prediction: development and validation of a machine learning-based preclinical screening model in a cross-sectional study.,2025,"Bingsheng Wang, Ruihan Xie, Wenhao Qi, Jiani Yao, Yankai Shi, Xiajing Lou, Chaoqun Dong, Xiaohong Zhu, Bing Wang, Danni He, Yanfei Chen, Shihua Cao"
Longitudinal dynamic MRI radiomic models for early prediction of prognosis in locally advanced cervical cancer treated with concurrent chemoradiotherapy.,2024,"Chang Cai, Ji-Feng Xiao, Rong Cai, Dan Ou, Yi-Wei Wang, Jia-Yi Chen, Hao-Ping Xu"
